family,N_params_B,D_tokens_B,val_loss,is_converged,compute_FLOPs
Phi,1.3,405,2.5317,1,3.159e+21
LLaMA,65.0,11349,1.8828,1,4.42611e+24
LLaMA,13.0,2229,2.0796,1,1.73862e+23
LLaMA,33.0,4583,1.9757,1,9.07434e+23
Qwen2,20.0,3000,2.0858,1,3.6e+23
Qwen2,72.0,33739,1.8505,1,1.4575248e+25
Pythia,1.4,129,2.6238,1,1.0835999999999999e+21
Pythia,12.0,300,2.1077,1,2.16e+22
Pythia,2.8,300,2.4276,1,5.039999999999999e+21
Pythia,0.16,13,3.725,1,1.248e+19
Phi,2.7,1084,2.32,1,1.7560800000000003e+22
LLaMA,7.0,1229,2.187,1,5.1618e+22
LLaMA,3.5,2200,2.3258,1,4.62e+22
Pythia,0.41,41,3.1611,1,1.0086e+20
Pythia,6.9,300,2.3285,1,1.2420000000000001e+22
Qwen2,0.5,361,2.8399,1,1.083e+21
Phi,14.0,4790,2.0512,1,4.0236e+23
Phi,4.2,350,2.3867,1,8.820000000000002e+21
Phi,7.0,4448,2.1464,1,1.86816e+23
Qwen2,7.0,2221,2.2237,1,9.3282e+22
Gemma,2.0,1049,2.394,1,1.2588e+22
Gemma,7.0,4109,2.0973,1,1.72578e+23
Pythia,0.07,6,4.3629,1,2.5200000000000005e+18
Qwen2,1.5,680,2.5398,1,6.12e+21
Pythia,1.0,111,2.7965,1,6.66e+20
Phi,18.0,2800,2.0743,1,3.024e+23
GPT2,0.12,40,3.0,1,2.8799999999999996e+19
GPT2,0.35,40,2.85,1,8.399999999999998e+19
GPT2,0.77,40,2.75,1,1.848e+20
GPT2,1.5,40,2.7,1,3.6e+20
OPT,0.13,300,3.11,1,2.34e+20
OPT,0.35,300,2.88,1,6.299999999999999e+20
OPT,1.3,300,2.65,1,2.34e+21
OPT,2.7,300,2.5,1,4.860000000000001e+21
OPT,6.7,300,2.33,1,1.206e+22
OPT,13.0,300,2.22,1,2.34e+22
OPT,30.0,300,2.1,1,5.4e+22
BLOOM,0.56,350,2.75,1,1.176e+21
BLOOM,1.7,350,2.55,1,3.5699999999999995e+21
BLOOM,3.0,350,2.45,1,6.3e+21
BLOOM,7.1,350,2.3,1,1.4909999999999998e+22
Falcon,7.0,1500,2.25,1,6.3e+22
Falcon,40.0,1500,2.05,1,3.6e+23
Mistral,7.0,8000,2.1,1,3.36e+23
Yi,6.0,3000,2.1,1,1.08e+23
Yi,34.0,3000,1.9,1,6.12e+23
LLaMA,70.0,15000,1.71,1,6.3e+24
Qwen2,32.0,18000,1.95,1,3.456e+24
Qwen2,72.0,18000,1.85,1,7.776e+24
Gemma,9.0,8000,2.1,1,4.32e+23
Cerebras-GPT,0.11,2050,2.95,1,1.353e+21
Cerebras-GPT,0.26,2050,2.7,1,3.198e+21
Cerebras-GPT,0.59,2050,2.5,1,7.257e+21
Cerebras-GPT,1.3,2050,2.35,1,1.5990000000000003e+22
Cerebras-GPT,2.7,2050,2.22,1,3.3210000000000006e+22
Cerebras-GPT,6.7,2050,2.08,1,8.241e+22
Cerebras-GPT,13.0,2050,2.0,1,1.599e+23
